010006,北海道,,ﾎｯｶｲﾄﾞｳ,,,
011002,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,,
012025,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,,
012033,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,,
012041,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,,
012050,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,,
012068,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,,
012076,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,,
012084,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,,
012092,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,,
012106,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,,
012114,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,,
012122,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,,
012131,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,,
012149,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,,
012157,北海道,美唄市,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾊﾞｲｼ,,
012165,北海道,芦別市,ﾎｯｶｲﾄﾞｳ,ｱｼﾍﾞﾂｼ,,
012173,北海道,江別市,ﾎｯｶｲﾄﾞｳ,ｴﾍﾞﾂｼ,,
012181,北海道,赤平市,ﾎｯｶｲﾄﾞｳ,ｱｶﾋﾞﾗｼ,,
012190,北海道,紋別市,ﾎｯｶｲﾄﾞｳ,ﾓﾝﾍﾞﾂｼ,,
012203,北海道,士別市,ﾎｯｶｲﾄﾞｳ,ｼﾍﾞﾂｼ,,
012211,北海道,名寄市,ﾎｯｶｲﾄﾞｳ,ﾅﾖﾛｼ,,
012220,北海道,三笠市,ﾎｯｶｲﾄﾞｳ,ﾐｶｻｼ,,
012238,北海道,根室市,ﾎｯｶｲﾄﾞｳ,ﾈﾑﾛｼ,,
012246,北海道,千歳市,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,,
012254,北海道,滝川市,ﾎｯｶｲﾄﾞｳ,ﾀｷｶﾜｼ,,
012262,北海道,砂川市,ﾎｯｶｲﾄﾞｳ,ｽﾅｶﾞﾜｼ,,
012271,北海道,歌志内市,ﾎｯｶｲﾄﾞｳ,ｳﾀｼﾅｲｼ,,
012289,北海道,深川市,ﾎｯｶｲﾄﾞｳ,ﾌｶｶﾞﾜｼ,,
012297,北海道,富良野市,ﾎｯｶｲﾄﾞｳ,ﾌﾗﾉｼ,,
012301,北海道,登別市,ﾎｯｶｲﾄﾞｳ,ﾉﾎﾞﾘﾍﾞﾂｼ,,
012319,北海道,恵庭市,ﾎｯｶｲﾄﾞｳ,ｴﾆﾜｼ,,
012335,北海道,伊達市,ﾎｯｶｲﾄﾞｳ,ﾀﾞﾃｼ,,
012343,北海道,北広島市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾛｼﾏｼ,,
012351,北海道,石狩市,ﾎｯｶｲﾄﾞｳ,ｲｼｶﾘｼ,,
012360,北海道,北斗市,ﾎｯｶｲﾄﾞｳ,ﾎｸﾄｼ,,
013030,北海道,当別町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾍﾞﾂﾁｮｳ,,
